ZaposlenikID,Ime,Uloga,Kontakt
1,Matej Marić,Referent za korisnike,matej.marić@knjiznica.hr
2,Nikola Radić,Tehnička podrška,nikola.radić@knjiznica.hr
3,Karla Knežević,Voditelj knjižnice,karla.knežević@knjiznica.hr
4,Karla Tomić,Arhivar,karla.tomić@knjiznica.hr
5,Tomislav Knežević,Pomoćni knjižničar,tomislav.knežević@knjiznica.hr
6,Katarina Sertić,Tehnička podrška,katarina.sertić@knjiznica.hr
7,Luka Šimić,Arhivar,luka.šimić@knjiznica.hr
8,Karla Tomić,Administrator,karla.tomić@knjiznica.hr
9,Ana Tomić,Referent za korisnike,ana.tomić@knjiznica.hr
10,Tihana Šimić,Voditelj knjižnice,tihana.šimić@knjiznica.hr
11,Tihana Kovačević,Arhivar,tihana.kovačević@knjiznica.hr
12,Tomislav Sertić,Administrator,tomislav.sertić@knjiznica.hr
13,Luka Vidović,Voditelj knjižnice,luka.vidović@knjiznica.hr
14,Marko Kovačević,Voditelj knjižnice,marko.kovačević@knjiznica.hr
15,Domagoj Vidaković,Tehnička podrška,domagoj.vidaković@knjiznica.hr
16,Domagoj Horvat,Tehnička podrška,domagoj.horvat@knjiznica.hr
17,Tomislav Perić,Tehnička podrška,tomislav.perić@knjiznica.hr
18,Petra Miletić,Knjižničar,petra.miletić@knjiznica.hr
19,Lorena Grgić,Pomoćni knjižničar,lorena.grgić@knjiznica.hr
20,Luka Miletić,Tehnička podrška,luka.miletić@knjiznica.hr
21,Ana Tomić,Tehnička podrška,ana.tomić@knjiznica.hr
22,Nikola Kovačević,Pomoćni knjižničar,nikola.kovačević@knjiznica.hr
23,Lorena Lovrić,Voditelj knjižnice,lorena.lovrić@knjiznica.hr
24,Stjepan Babić,Tehnička podrška,stjepan.babić@knjiznica.hr
25,Matej Šimić,Administrator,matej.šimić@knjiznica.hr
26,Katarina Lovrić,Referent za korisnike,katarina.lovrić@knjiznica.hr
27,Juraj Grgić,Voditelj knjižnice,juraj.grgić@knjiznica.hr
28,Marija Bogdanović,Tehnička podrška,marija.bogdanović@knjiznica.hr
29,Lorena Marić,Voditelj knjižnice,lorena.marić@knjiznica.hr
30,Luka Miletić,Pomoćni knjižničar,luka.miletić@knjiznica.hr
31,Tomislav Kovačević,Referent za korisnike,tomislav.kovačević@knjiznica.hr
32,Petra Horvat,Arhivar,petra.horvat@knjiznica.hr
33,Tomislav Radić,Administrator,tomislav.radić@knjiznica.hr
34,Matej Kovačević,Tehnička podrška,matej.kovačević@knjiznica.hr
35,Ana Matić,Tehnička podrška,ana.matić@knjiznica.hr
36,Andrea Horvat,Administrator,andrea.horvat@knjiznica.hr
37,Lorena Grgić,Administrator,lorena.grgić@knjiznica.hr
38,Ana Perić,Pomoćni knjižničar,ana.perić@knjiznica.hr
39,Ivan Kovačević,Voditelj knjižnice,ivan.kovačević@knjiznica.hr
40,Lorena Matić,Knjižničar,lorena.matić@knjiznica.hr
41,Marko Radić,Referent za korisnike,marko.radić@knjiznica.hr
42,Matej Miletić,Referent za korisnike,matej.miletić@knjiznica.hr
43,Karla Grgić,Referent za korisnike,karla.grgić@knjiznica.hr
44,Lorena Vidaković,Voditelj knjižnice,lorena.vidaković@knjiznica.hr
45,Ana Kovačević,Knjižničar,ana.kovačević@knjiznica.hr
46,Lorena Jurić,Referent za korisnike,lorena.jurić@knjiznica.hr
47,Josip Kovačević,Pomoćni knjižničar,josip.kovačević@knjiznica.hr
48,Domagoj Barišić,Tehnička podrška,domagoj.barišić@knjiznica.hr
49,Ivan Perić,Arhivar,ivan.perić@knjiznica.hr
50,Marija Sertić,Arhivar,marija.sertić@knjiznica.hr
